# List of standard transcriptions of foreign names in to Chinese
# Data collected from http://www.chinese-tools.com/names 2010-02-07
# Name	Hanzi	Pinyin
Joshua	约书亚	Yāo shū yà
Josi	尤茜	Yóu xī
Josian	乔芗	Qiáo xiāng
Josiane	乔西安	Qiáo xī ān
Joss	乔斯	Qiáo sī
Josselin	若瑟兰	Ruò sè lán
Josué	霍苏埃	Huò sū āi
Josué	尤素埃	Yóu sù āi
Josune	霍苏内	Huò sū nèi
Joumana	儒玛娜	Rú Mǎ nà
Jovita	尤维塔	Yóu wéi tǎ
Joy	乔伊	Qiáo yī
Joyce	乔艾斯	Qiáo ài sī
Juakichan	爪克蝉	Zhǎo kè chán
Juan	胡安	Hú ān
Juan	Carlos	胡安卡洛斯 Hú ān Kǎ luò sī
Juana	胡安娜	Hú ān nà
Juani	华尼	Huá ní
Juanito	胡安尼托	Hú ān ní tuō
Juannyolis	欢牛里斯	Huān niú lǐ sī
Juarez	儒亚雷斯	Rú yà léi sī
Jucileide	朱茜蕾德	Zhū xī lěi dé
Judicaël	朱蒂卡尔	Zhū dì kǎ ěr
Judit	优蒂特	Yōu dì tè
Judite	尤蒂特	Yóu dì tè
Judith	朱迪思	Zhū dí sī
Judith	朱迪特	Zhū dí tè
Judy	朱蒂	Zhū dì
Judygaelle	橘蒂贾尔	Jú dì Jiǎ ěr
Jules	儒勒	Rú lè
Julia	朱丽娅	Zhū lì yǎ
Julià	优利恩	Yōu lì ēn
Júlia	优莉芽	Yōu lì yá
Julian	朱利安	Zhū lì ān
Juliana	朱利娅娜	Zhū lì yà nà
Juliane	朱利安	Zhū lì ān
Julianno	胡利亚诺	Hú lì yà nuò
Juliano	胡利亚诺	Hú lì yà nuò
Julie	朱丽	Zhū lì
Julien	茹里安	Rú lǐ ān
Julieta	胡列塔	Hú liè tǎ
Juliette	茱丽叶	Zhū lí yè
Juline	桔琳	Jú lín
Julio	胡里奥	Hú lǐ ào
June	朱恩	Zhū ēn
Junior	朱尼奥尔	Zhū ní ào ěr
Junior	莒尼奥尔	Jǔ ní ào ěr
Jupiter	朱庇特	Zhū bì tè
Juracira	朱拉希拉	Zhū lā xī lā
Jurgen	尤尔根	Yóu ěr gēn
Jürgen	尤尔艮	Yóu ěr gěn
Jussara	菊萨拉	Jú sà lā
Justin	桔斯汀	Jú sī tīng
Justin	贾斯汀	Jiǎ sī tīng
Justina	贾丝蒂娜	Jiǎ sī dì nà
Justine	贾斯汀	Jiǎ sī tīng
Justine	桔斯汀	Jú sī tīng
Justiniano	胡斯蒂尼亚诺	Hú sī dì ní yà nuò
Justinien	桔斯汀尼恩	Jú sī tīng ní ēn
Justino	胡斯蒂诺	Hú sī dì nuò
Justo	胡斯托	Hú sī tuō
Justyna	尤斯蒂娜	Yóu sī dì nà
Jutta	尤塔	Yóu tǎ
Juvencio	胡文西奥	Hú wén xī ào
Jym	吉姆	Jí mǔ
Kaden	卡登	Kǎ dēng
Kadir	卡蒂尔	Kǎ dì ěr
Kaeleen	凯林	Kǎi lín
Kaëly	卡尔利	Kǎ ěr lì
Kaena	卡伊娜	Kǎ Yī nà
Kahina	卡伊娜	Kǎ Yī nà
Kai	凯	Kǎi
Kaïs	卡伊斯	Kǎ yī sī
Kaissy	凯茜	Kǎi xī
Kaitlin	凯特琳	Kǎi tè lín
Kako	卡口	Kǎ kǒu
Kaleb	卡勒博	Kǎ lè bó
Kalena	卡利哪	Kǎ lì nǎ
Kaley	凯莉	Kǎi lì
Kalia	卡丽娅	Kǎ lì yà
Kallisté	卡丽丝特	Kǎ lí sī té
Kalzely	卡杰利	Kǎ Jié lì
Kamal	卡马尔	Kǎ mǎ ěr
Kamélia	卡梅莉娅	Kǎ méi lì yà
Kamil	卡米尔	Kǎ mǐ ěr
Kamil	卡米尔	Kǎ mǐ ěr
Kamila	卡米拉	Kǎ mǐ lā
Kamille	卡蜜	Kǎ mì
Kanis	卡尼斯	Kǎ ní sī
Kannen	卡能	Kǎ néng
Kanye	侃耶	Kǎn yē
Kaoutar	卡乌塔尔	Kǎ wū tǎ ěr
Kara	卡拉	Kǎ lā
Kareed	凯莉特	Kǎi lì tè
Karelle	卡雷乐	Kǎ léi lè
Karen	凯琳	Kǎi lín
Kari	佳丽	Jiā lì
Kariane	卡丽安	Kǎ lì ān
Karianne	卡丽安	Kǎ lì ān
Kariel	卡莉尔	Kǎ lì ěr
Karim	卡利姆	Kǎ lì mǔ
Karima	卡丽玛	Kǎ lì mǎ
Karina	卡莉娜	Kǎ lì nà
Karine	卡琳	Kǎ lín
Karis	卡莉丝	Kǎ lì sī
Karissa	卡莉萨	Kǎ lì sà
Karl	卡尔	Kǎ ěr
Karl-Heinz	卡尔埃恩兹	Kǎ ěr Aī ēn zī
Karla	卡拉	Kǎ lā
Karlane	卡尔兰	Kǎ ěr lán
Karlene	卡尔莲	Kǎ ěr lián
Karlla	卡尔拉	Kǎ ěr lā
Karo	卡罗	Kǎ luó
Karolann	卡罗兰	Kǎ luó lán
Karolanne	卡罗兰	Kǎ luó lán
Karolina	卡洛丽娜	Kǎ luò lì nà
Karsten	卡尔斯藤	Kǎ ěr sī téng
Karyn	卡琳	Kǎ lín
Kassandra	卡桑德拉	Kǎ sāng dé lā
Kata	卡塔	Kǎ tǎ
Katalina	卡塔丽娜	Kǎ tǎ lì nà
Katarin	卡塔琳	Kǎ tǎ lín
Katarina	卡塔丽娜	Kǎ tǎ lì nà
Katarzyna	卡塔热娜	Kǎ tǎ rè nà
Kate	凯特	Kǎi té
Katel	卡特	Kǎ té
Katell	卡特尔	Kǎ tè ěr
Katerine	卡特琳	Kǎ tè lín
Katherin	凯瑟琳	Kǎi sè lín
Katherine	凯瑟琳	Kǎi sè lín
Katheryne	凯瑟琳	Kǎi sè lín
Kathi	卡蒂	Kǎ dì
Kathleen	凯瑟琳	Kǎi sè lín
Kathrin	凯思琳	Kǎi sī lín
Kathy	凯西	Kǎi xī
Katia	卡提亚	Kǎ tí yà
Katie	凯蒂	Kǎi dì
Katisy	凯蒂西	Kǎi dì xī
Katiuska	卡铁丝卡	Kǎ tiě sī Kǎ
Katja	凯蒂娅	Kǎi dì yà
Katleen	凯瑟琳	Kǎi sè lín
Katrina	凯特琳娜	Kǎi tè lín nà
Katy	凯蒂	Kǎi dì
KaTy	卡蒂	Kǎ dì
Kavinhas	卡文纳斯	Kǎ wén nà sī
Kavish	卡维士	Kǎ wéi shì
Kay	凯	Kǎi
Kaya	卡娅	Kǎ yà
Kaye	凯耶	Kǎi yē
Kayla	凯拉	Kǎi lā
Kaylia	凯莉娅	Kǎi lì yà
Kayna	克娜	Kè nà
Kazimierz	卡热米埃	Kǎ rè mǐ āi
Kean	亲	Qīn
Keegan	凯甘	Kǎi gān
Keiko	凯蔻	Kǎi kòu
Keila	凯拉	Kǎi lā
Keiler	凯勒尔	Kǎi lè ěr
Keira	凯拉	Kǎi lā
Keith	凯斯	Kǎi sī
Kelian	克里安	Kè lǐ ān
Kellen	科伦	Kē lún
Kelliah	克丽娅	Kè lì yà
Kelly	凯莉	Kǎi lì
Kellya	凯黎娅	Kǎi lí yà
Kelsey	凯尔塞	Kǎi ěr sāi
Kelvyn	凯尔文	Kǎi ěr wén
Kely	凯莉	Kǎi lì
Kelyan	凯利安	Kǎi lì ān
Kelyne	科琳	Kē lín
Ken	肯	Kěn
Kénan	克南	Kè nán
Kendal	肯答尔	Kěn dá ěr
Kendra	肯特拉	Kěn tè lā
Kenita	肯妮塔	Kěn nī tǎ
Kenneth	肯尼斯	Kěn ní sī
Kenny	肯尼	Kěn ní
Kenoly	克诺里	Kè nuò lǐ
Kenth	肯思	Kěn sī
Kentin	昆汀	Kūn tīng
Keny	肯尼	Kěn ní
Kenza	肯扎	Kěn zā
Kenzi	肯吉	Kěn jí
Kenzo	肯佐	Kěn zuǒ
Kerri	凯瑞	Kǎi ruì
Kerry	凯瑞	Kǎi ruì
Kerry-Ann	凯莉安	Kǎi lì ān
Kerry-Anne	凯莉安	Kǎi lì ān
Kerstin	科尔斯汀	Kē ěr sī tīng
Késia	科西亚	Kē xī yà
Ketty	凯蒂	Kǎi dì
Kéven	凯文	Kǎi wén
Kevin	凯文	Kǎi wén
Kévin	凯文	Kǎi wén
Kévina	凯维娜	Kǎi wéi nà
Keylla	凯拉	Kǎi lā
Keziah	凯夏	Kǎi xià
Khabbeb	卡勒博	Kǎ lè bó
Khadija	卡蒂贾	Kǎ dì jiǎ
Khaled	哈雷德	Hā léi dé
Khansae	龛赛	Kān sài
Khelina	克丽娜	Kè lí nà
Khloé	科萝艾	Kē Luó Aì
Khoukha	古卡	Gǔ Kǎ
Khrystofer	克里斯多佛	Kè lǐ sī duō Fó
Kian	吉安	Jí ān
Kiandra	羌德莉娅	Qiāng dé lì yà
Kiara	恰拉	Qià lā
Kika	吉卡	Jí Kǎ
Kiko	奇科	Qí kē
Kilian	吉利安	Jí lì ān
Killian	吉利安	Jí lì ān
Killien	吉利恩	Jí lì ēn
Kilyann	吉利安	Jí lì ān
Kim	金	Jīn
Kimberley	金伯利	Jīn bó lì
Kimberly	金伯利	Jīn bó lì
Kina	琦娜	Qí nà
Kinga	金佳	Jīn jiā
Kira	琦拉	Qí lā
Kiran	凯兰	Kǎi lán
Kirschner	科尔士内	Kē ěr shì nèi
Kirstin	克里斯丁	Kè lǐ sī dīng
Kirsty	科斯蒂	Kē sī dì
Kitana	琦塔娜	Qí tá nà
Kiven	吉文	Jí wén
Kiwi	吉维	Jí wéi
Kleber	库莱贝	Kù lái Bèi
Klein	克莱恩	Kè lái ēn
Klervi	克莱尔维	Kè lái ěr wéi
Klivia	克莉维娅	Kè lì wéi yà
Kobe	科比	Kē bǐ
Kornelia	克内利亚	Kè nèi lì yà
Koura	枯哈	Kū hā
Krista	克莉斯塔	Kè lì sī tǎ
Kristal	科利斯塔	Kē lì sī tǎ
Kristen	克里斯坦	Kè lǐ sī tǎn
Kristi	克莉斯蒂	Kè lì sī dì
Kristian	克里斯典	Kè lǐ sī diǎn
Kristie	克莉斯蒂	Kè lì sī dì
Kristina	克里斯蒂娜	Kè lǐ sī dí nà
Kristine	克莉斯汀	Kè lì sī tīng
Kristy	克里斯蒂	Kè lǐ sī dì
Krystyna	克里斯蒂娜	Kè lǐ sī dì nà
Krzysztof	克什斯托弗	Kè shí sī tuō fú
Kurro	库罗	Kù luó
Kurt	库尔特	Kù ěr té
Kya	迦	Jiā
Kyara	基娅拉	Jī yà lā
Kylan	吉兰	Jí lán
Kyle	凯勒	Kǎi lè
Kylian	基利安	Jī lì ān
Kylie	琦丽	Qí lì
Kyllian	吉利安	Jí lì ān
Labie	拉比	Lā bǐ
Labin	拉宾	Lā bīn
Lachlan	拉赫兰	Lā hè lán
Ladislas	拉迪斯拉斯	Lā dí sī lā sī
Lærke	莱克	Lái kè
Laetitia	莱堤西亚	Lái tí xī yǎ
Laëtitia	莱提霞	Lái tí xiá
Lahcen	拉森	Lā sēn
Laia	莱芽	Lái yá
Laïd	拉伊德	Lā yī dé
Laïla	蕾拉	Lěi lā
Laila	莱拉	Lái lā
Laïs	拉伊丝	Lā Yī sī
Lais	莱斯	Lái sī
Laïsa	拉伊萨	Lā Yī sà
Laith	雷特	Léi tè
Lali	拉力	Lā lì
Lalie	拉丽	Lā lí
Laly	拉丽	Lā lì
Lambert	朗贝尔	Lǎng bèi er
Lamia	拉弥亚	Lā mí yà
Lana	拉娜	Lā nà
Lana	拉娜	Lā nà
Lance	兰斯	Lán sī
Lancelot	郎斯洛	Láng sī luò
Landry	郎德里	Láng dé lǐ
Lange	朗日	Lǎng rì
Lanna	兰娜	Lán nà
Laoise	劳伊斯	Láo Yī sī
Laora	劳拉	Láo lā
Laouni	拉乌尼	Lā Wū ní
Lara	拉哈	Lā hā
Lara	劳拉	Láo lā
Larissa	拉莉萨	Lā lì sà
Lars	拉尔斯	Lā ěr sī
Laura	劳拉	Láo lā
Lauralee	劳拉蕾	Láo lā lěi
Lauralie	劳拉莉	Láo lā lì
Lauraly	劳拉莉	Láo lā lì
Lauranne	罗兰	Luō lán
Laure	罗尔	Luó ěr
Laure	劳荷	Láo hé
Laureen	劳琳	Láo lín
Laurélie	劳荷莉	Láo hé lì
Laureline	劳荷琳	Láo hé lín
Lauren	劳伦	Láo lún
Lauréna	罗蕾娜	Luó lěi nà
Laurèna	罗蕾娜	Luó lěi nà
Laurence	洛杭丝	Luò háng sī
Laurence	劳伦斯	Láo lún sī
Laurene	劳伦	Láo lún
Laurène	落莲	Luò lián
Laurent	洛杭	Luò háng
Laurentia	劳伦茜娅	Láo lún xī yà
Laurett	e	罗蕾特 Luó lěi tè
Laurette	罗蕾特	Luó lěi tè
Lauriane	劳丽安	Láo lì ān
Laurianne	劳丽安	Láo lì ān
Laurie	萝莉	Luó lì
Laurier	洛里哀	Luò lǐ āi
Laurina	劳莉娜	Láo lì nà
Laurine	劳琳	Láo lín
Lauro	劳罗	Láo luó
Laury	萝莉	Luó lì
Laurylenn	萝莉琳	Luó lì lín
Lautaro	劳塔罗	Láo tǎ luó
Lauvinie	罗维妮	Luó wéi nī
Lawrence	劳伦斯	Láo lún sī
Layla	蕾拉	Lěi lā
Laysi	莱茜	Lái xī
Lazara	拉萨拉	Lā sà lā
Lazare	拉扎尔	Lā zhā er
Lazaro	拉萨罗	Lā sà luó
Léa	利娅	Lì yǎ
Leah	蕾雅	Lěi Yǎ
Léana	蕾安娜	Lěi ān nà
Leandra	莱昂德拉	Lái áng dé lā
Léandre	蕾昂达	Lěi áng dá
Leandro	莱昂德罗	Lái áng dē luō
Léane	蕾安	Lěi ān
Lech	雷尔	Léi ěr
Leevan	莉凡	Lì fán
Leïa	蕾娅	Lěi yà
Leidimar	雷蒂玛尔	Léi dì Mǎ ěr
Leidy	蕾蒂	Lěi dì
Leïla	蕾拉	Lěi lā
Leilani	蕾拉妮	Lěi lā nī
Leilany	蕾拉妮	Lěi lā nī
Leire	莱乐	Lái lè
Leiya	蕾娅	Lěi yà
Leland	雷郎	Léi Láng
Lélya	蕾莉娅	Lěi lì yà
Lemuel	勒姆艾	Lè mǔ Aì
Lena	莉娜	Lì nà
Léna	蕾娜	Lěi nà
Lénaïg	蕾娜伊克	Lěi nà Yī kè
Lenin	列宁	Liè níng
Lenine	雷宁	Léi nín
Lenisa	蕾妮萨	Lěi nī sà
Lennart	雷纳尔特	Léi nà ěr tè
Lenno	雷诺	Léi nuò
Lenny	蓝尼	Lán ní
Lenon	雷弄	Léi nòng
Lény	雷尼	Léi ní
Léo	雷欧	Léi ōu
Leocádia	蕾奥卡蒂娅	Lěi ào kǎ dì yà
Léon	莱昂	Lái áng
Leon	莱昂	Lái áng
Leona	莉安娜	Lì ān nà
Léonard	雷奥纳尔	Léi ào nà ěr
Leonardo	莱昂纳多	Lái áng nà duō
Léone	蕾安	Lěi ān
Leonel	莱奥耐	Lái ào nài
Leonie	蕾奥妮	Lěi ào nī
Léonie	蕾奥妮	Lěi ào nī
Leonor	莱昂诺尔	Lái áng nuò r
Léonore	莱奥诺	Lái ào nuò
Léopold	利奥波德	Lì ào bō dé
Leopold	利奥波德	Lì ào bō dé
Leopoldo	莱奥波尔多	Lái ào bō rduō
Leroy	勒沃	Lè wò
Léry	雷利	Léi lì
Lesley	莱丝莉	Lái sī lì
Leslie	莱丝莉	Lái sī lì
Lesly	莱丝莉	Lái sī lì
Leticia	莱蒂西亚	Lái dì xī yà
Letitia	蕾蒂夏	Lěi dì xià
Lexy	雷克西	Léi kè xī
Léya	蕾亚	Lěi yà
Leyla	蕾拉	Lěi lā
Leyre	莱乐	Lái lè
Liam	利亚姆	Lì yà mǔ
Lian	莱恩	Lái ēn
Liana	莱娅娜	Lái yà nà
Liane	丽安	Lì ān
Liann	莱安	Lái ān
Liantsoa	踉笮阿	Liàng zé Ā
Libardo	利巴尔多	Lì bā ěr duō
Libby	莉碧	Lì bì
liberdade	自由	Zì Yóu
Libertad	丽波尔达	Lì bō rdá
Libertário	李贝塔柳	Lǐ Bèi tǎ liǔ
Licas	利卡斯	Lì Kǎ sī
Licinia	丽茜妮娅	Lì xī nī yà
Lida	丽达	Lì dá
Lidia	莉迪娅	Lì dí yà
Lídia	莉蒂娅	Lì dì yà
Lidiana	莉迪亚纳	Lì dí yà nà
Liduvina	利杜维纳	Lì dù wéi nà
Liena	列娜	Liè nà
Liette	埃特	Aī tè
Lieza	丽萨	Lì sà
Lígia	莉嘉	Lì jiā
Lila	莉拉	Lì lā
Lilas	莉拉	Lì lā
Lili	丽丽	Lì lì
Lília	李丽娅	Lǐ lì yà
Lilian	利利昂	Lì lì áng
Lílian	莉莉安	Lì lì ān
Liliana	莉莉亚娜	Lì lì yà nà
Liliane	莉莉安	Lì lì ān
Lilianne	莉莉安	Lì lì ān
Lilith	莉莉丝	Lì lì sī
Lillian	利利安	Lì lì ān
Lilly	莉莉	Lì lì
Lilou	郦露	Lì lù
Lily	莉莉	Lì lì
Lily-Fleur	丽丽弗勒	Lì lì Fú lè
Lily-Rose	莉莉罗斯	Lì lì luó sī
Lina	莉娜	Lì nà
Lincoln	林垦	Lín kěn
Linda	琳达	Lín dá
Lindia	琳蒂娅	Lín dì yà
Lindsay	林赛	Lín sài
Line	琳	Lín
Linh	琳	Lín
Linn	琳	Lín
Linnea	莉内娅	Lì nèi yà
Lino	利诺	Lì nuò
Linton	林顿	Lín dùn
Lionel	利奥内尔	Lì ào nèi er
Liroye	利罗依	Lì luó yī
Lisa	丽莎	Lì shā
Lisandru	利桑德鲁	Lì sāng dé lǔ
Lisane	莉茜安	Lì xī ān
Lisange	丽桑日	Lí sāng rì
Lise	丽丝	Lí sī
Liséa	丽赛亚	Lì sài yà
Lisette	丽塞特	Lì Sāi tè
Lison	莉宋	Lì sòng
Livia	利维亚	Lì wéi yà
Liwann	利万	Lì wàn
Liya	丽雅	Lì yǎ
Liz	丽丝	Lì sī
Lizbeth	李斯贝特	Lǐ sī Bèi tè
Lizeth	李赛特	Lǐ sài tè
Lleó	雷昂	Léi áng
Llorenç	罗雷	Luó léi
Llorenç	劳朗斯	Láo lǎng sī
Lloyd	罗伊德	Luó Yī dé
Lluç	鲁斯	Lǔ sī
Llúcia	露茜芽	Lù xī yá
Lluis	乌伊斯	Wū Yī sī
Lluis	路易斯	Lù yì sī
Lluisa	露易萨	Lù yì sà
Llura	露拉	Lù lā
Loan	罗安	Luó ān
Loana	罗安娜	Luō ān nà
Loane	罗安	Luó ān
Loanne	劳安	Láo ān
Loeva	罗伊娃	Luó Yī wá
Logan	露甘	Lòu gān
Loghan	露甘	Lòu gān
Lohane	罗安	Luó ān
Lohann	罗安	Luó ān
Lohith	罗伊斯	Luó Yī sī
Loïc	罗伊克	Luō yī kè
Loïca	罗伊卡	Luó yī kǎ
Loick	罗伊克	Luō yī kè
Loida	洛伊达	Luò yī dá
Loïs	罗伊丝	Luō yī sī
Lola	罗拉	Luō lā
Lolita	洛丽塔	Luò lí tǎ
Lolly	洛丽	Luò lì
Lorea	罗蕾娅	Luó lěi yà
Loredana	萝蕾丹娜	Luó lěi dān nà
Lorelei	罗勒莱	Luó lè lái
Loreley	洛乐雷	Luò lè léi
Lorena	洛雷纳	Luò léi nà
Lorène	劳伦	Láo lún
Lorene	劳伦	Láo lún
Lorenz	罗兰兹	Luó lán zī
Lorenzo	劳伦佐	Láo lún zuǒ
Loreto	洛雷托	Luò léi tuō
Lorette	罗瑞德	Luó ruì dé
Lorette	劳蕾特	Láo lěi tè
Lorian	劳里昂	Láo lǐ áng
Loriane	劳丽安	Láo lí ān
Lorianne	劳丽安	Láo lí ān
Lorie	劳丽	Láo lí
Lorik	罗里克	Luó lǐ kè
Lorin	罗林	Luó lín
Lorine	罗琳	Luó lín
Loris	罗利斯	Luó lì sī
Lorna	罗尔哪	Luó ěr nǎ
Lorraine	劳蕾娜	Láo lěi nà
Lorriane	劳丽安	Láo lí ān
Loryce	劳丽丝	Láo lì sī
Loryn	罗琳	Luó lín
Lotfi	罗德费	Luó dé Fèi
Lothaire	罗泰荷	Luó tài hé
Lou	璐	Lù
Louane	路安	Lù ān
Louella	璐尔拉	Lù ěr lā
Louie	路易	Lù yì
Louis	路易	Lù yì
Louis-Philippe	路易·菲力浦	Lù yì fēi lì pǔ
Louisa	路易莎	Lù yì shā
Louise	路易丝	Lù yì sī
Louisette	路易丝特	Lù yì sī tè
Louisi	露伊茜	Lù Yī xī
Louka	卢卡	Lú kǎ
Louloua	露露阿	Lù lù ā
Louna	露娜	Lù nà
Louniz	卢尼斯	Lú ní sī
Loup	卢	Lú
Lourdes	洛德斯	Luò dé sī
Lourenço	劳伦西奥	Láo lún loxī ào
Louwana	露瓦哪	Lù wǎ nǎ
Lowen	罗文	Luó wén
Lowri	萝莉	Luó lì
Loyce	罗伊丝	Luó yī sī
Lu	Mei	鲁梅 Lǔ Méi
Lua	露娃	Lù wá
Luan	露安	Lù ān
Luana	露娜	Lù nà
Luandreo	鸾德雷奥	Luán dé léi ào
Luanie	露安妮	Lù ān nī
Luanna	露安娜	Lù ān nà
Luara	露阿拉	Lù Ā lā
Luba	露巴	Lù Bā
Lubin	吕彬	Lǚ bīn
Luc	吕克	Lǚ kè
Luca	卢卡	Lú kǎ
Lucas	卢卡	Lú kǎ
Lucas	卢卡斯	Lú kǎ sī
Luce	吕丝	Lǚ sī
Lucelia	露瑟莉娅	Lù sè lì yà
Lucero	卢瑟罗	Lú sè luó
Lucette	吕塞特	Lǚ sāi tè
Luci	卢西	Lú xī
Lucia	露茜娅	Lù xī yà
Lúcia	露茜娅	Lù xī yà
Luciana	卢西亚娜	Lú xī yà nà
Luciane	露西安	Lù xī ān
Luciano	卢西亚诺	Lú xī yà nuò
Lucie	露西	Lù xī
Lucien	吕西安	Lǚ xī ān
Luciene	露贤	Lù xián
Lucienne	露茜恩	Lù xī ēn
Lucila	卢西拉	Lú xī lā
Lucile	露西儿	Lù xī er
Lucília	露茜丽娅	Lù xī lì yà
Lucille	露西儿	Lù xī ér
Lucinda	卢新达	Lú Xīn dá
Lucine	吕芯	Lǚ xīn
Lúcio	卢西奥	Lú xī ào
Luckas	卢卡斯	Lú kǎ sī
Lucrèce	吕克蕾丝	Lǚ kè lěi sī
Lucrecia	琉璃希娅	Liú lí xī yà
Lucy	露西	Lù xī
Ludger	鲁德戈	Lǔ dé gē
Ludim	陆丁	Lù dīng
Ludivine	吕蒂文	Lǚ dì wén
Ludmila	卢德米拉	Lú dé mǐ lā
Ludmillia	露特米娅	Lù tè mǐ yà
Ludovic	吕多维克	Lǚ duō wéi kè
Ludwig	路德维希	Lù dé wéi xī
Ludwina	吕德威娜	Lǚ dé Wēi nà
Ludwing	陆德温	Lù dé wēn
Luella	露尔拉	Lù ěr lā
Luigi	路易吉	Lù yì jí
Luis	路易斯	Lù yì sī
Luisa	路易莎	Lù yì shā
Luisja	路易夏	Lù yì xià
Luiz	路易斯	Lù yì sī
Luka	卢卡	Lú kǎ
Łukasz	吴卡什	Wǔ kǎ shí
Luke	卢克	Lú kè
Lula	露拉	Lù lā
Lulia	露莉娅	Lù lì yà
Luna	璐娜	Lù nà
Luna	璐娜	Lù nà
Lurdes	露尔黛丝	Lù ěr dài sī
Luz	卢斯	Lú sī
Luzia	露茜娅	Lù xī yà
Luzie	露谢	Lù Xiè
Ly	莉	Lì
Lydia	莉蒂娅	Lì dì yà
Lydie	莉蒂	Lì dì
Lyes	埃斯	Aī sī
Lygia	莉吉娅	Lì jí yà
Lyla	莉拉	Lì lā
Lylie	莉莉	Lì lì
Lylo	利鲁	Lì lǔ
Lylou	莉露	Lì Lù
Lynda	琳达	Lín dá
Lyne	琳	Lín
Lynette	丽奈特	Lì nài té
Lynn	琳	Lín
Lynne	琳	Lín
Lys	莉丝	Lì sī
Lysa	丽莎	Lì shā
Lysane	莉叁	Lì sān
Lysange	丽桑日	Lí sāng rì
Lysann	丽珊	Lì shān
Lyséa	莉瑟阿	Lì sè ā
Lysiane	莉西安	Lì xī ān
Lysianne	莉西安	Lì xī ān
Maaike	玛艾克	Mǎ ài kè
Mabel	玛贝	Mǎ Bèi
Mabety	玛贝蒂	Mǎ Bèi dì
Macarena	马卡乐娜	Mǎ kǎ lè nà
Macario	马卡利奥	Mǎ kǎ lì ào
Macedo	马塞多	Mǎ Sāi duō
Macha	玛莎	Mǎ shā
Macha	玛莎	Mǎ shā
Maciej	马切	Mǎ qiē
Maciel	马希尔	Mǎ xī ěr
Madalena	玛达蕾娜	Mǎ dá lěi nà
Maddison	马蒂森	Mǎ dì sēn
Maddy	玛迪	Mǎ dí
Madeleine	玛德琳	Mǎ dé lín
Madeline	玛德琳	Mǎ dé lín
Madinina	玛蒂妮娜	Mǎ dì nī nà
Madison	麦迪逊	Mài dí xùn
Madisson	玛迪笋	Mǎ dí sǔn
madisson	马迪松	Mǎ dí sōng
Madly	玛德丽	Mǎ dé lì
Mae	梅	Méi
Maël	马尔	Mǎ ěr
Maëlann	玛伊兰	Mǎ yī lán
Maelia	玛艾娅	Mǎ ài yà
Maëline	玛艾琳	Mǎ ài lín
Maëlla	玛艾拉	Mǎ ài lā
Maëlle	玛艾尔	Mǎ ài ěr
Maëly	玛艾丽	Mǎ ài lí
Maëlys	玛艾丽丝	Mǎ ài lí sī
Maëlyss	玛艾丽丝	Mǎ ài lí sī
Maena	玛艾娜	Mǎ ài nà
Maéna	玛艾娜	Mǎ ài nà
Maeva	玛伊瓦	Mǎ yī wǎ
Maeve	玛伊芙	Mǎ yī fú
Mafalda	玛法尔达	Mǎ fǎ ěr dá
Magali	麦格丽	Mài gé lí
Magalie	麦格丽	Mài gé lì
Magaly	麦格丽	Mài gé lí
Magatte	马卡特	Mǎ kǎ tè
Magdalena	玛格达雷娜	Mǎ gé dá léi nà
Magdalena	玛格达蕾娜	Mǎ gé dá lěi nà
Magdalène	玛格达雷恩	Mǎ gé dá léi ēn
Magella	玛捷拉	Mǎ jí lā
Maggy	玛吉	Mǎ jí
Magnolia	木兰	Mù lán
Magnus	马格努斯	Mǎ gé nǔ sī
Maguelone	玛克愣	Mǎ kè lèng
Maguy	玛吉	Mǎ jí
Maha	马阿	Mǎ ā
Mahé	玛艾	Mǎ Aì
Mahée	玛艾	Mǎ Aì
Mahélie	玛艾莉	Mǎ ài lì
Mahfooz	马夫斯	Mǎ fū sī
Mahyna	玛依娜	Mǎ yī nà
Maï	麦	Mài
Maia	玛雅	Mǎ yǎ
Maiara	玛娅拉	Mǎ yà lā
Maik	麦克	Mài kè
Maïka	玛伊卡	Mǎ Yī Kǎ
Maike	麦克	Mài kè
Maïlis	麦丽斯	Mài lí sī
Maïly	玛伊莉	Mǎ yī lì
Maïlys	玛伊丽丝	Mǎ yī lì sī
Maïna	玛依娜	Mǎ yī nà
Maireni	麦蕾妮	Mài lěi nī
Maitane	麦达内	Mài dá nèi
Maïté	玛伊泰	Mǎ yī tài
Maiwen	玛伊雯	Mǎ yī wén
Maïwenn	玛伊雯	Mǎ yī wén
Majid	马吉德	Mǎ jí dé
Makkoo	马库	Mǎ Kù
Makoto	马科特	Mǎ Kē tè
Malak	马拉克	Mǎ lā kè
Malaury	玛罗丽	Mǎ luó lì
Malcolm	马尔科姆	Mǎ ěr kē mǔ
Malek	马莱克	Mǎ lái kè
Malena	玛蕾娜	Mǎ lěi nà
Małgorzata	毛戈雅塔	Máo gē yǎ tǎ
Malha	玛尔哈	Mǎ ěr Hā
Malia	玛丽亚	Mǎ lì yà
Malik	马里克	Mǎ lǐ kè
Malika	玛丽卡	Mǎ lí kǎ
Mallaury	玛劳丽	Mǎ Láo lì
Mallorie	玛罗丽	Mǎ luó lì
Mallory	玛罗丽	Mǎ luó lì
Malo	马罗	Mǎ luó
Malorie	玛罗丽	Mǎ luó lì
