# Sources of data:
#
# * Frequency and Stroke Counts of Chinese Characters
#   http://technology.chtsai.org/charfreq/
#
# - Mandarin Syllable Frequency Counts for Chinese Characters
#   http://technology.chtsai.org/syllable/
#
# Both are put under GPL by Chih-Hao Tsai.
#
# char	rank	pinyin
#
廢	1189	fei4
淚	1190	lei4
樞	1191	shu1
贏	1192	ying2
歐	1193	ou1
財	1194	cai2
訂	1195	ding4
途	1196	tu2
觸	1197	chu4
賢	1198	xian2
傑	1199	jie2
脫	1200	tuo1
箱	1201	xiang1
佈	1202	bu4
仙	1203	xian1
冰	1204	bing1
析	1205	xi1
蒼	1206	cang1
厭	1207	yan4
籍	1208	ji2
堅	1209	jian1
哭	1210	ku1
夏	1211	xia4
懶	1212	lan3
橋	1213	qiao2
穩	1214	wen3
露	1215	lou4
詢	1216	xun2
森	1217	sen1
絲	1218	si1
塵	1219	chen2
慣	1220	guan4
濤	1221	tao1
誼	1222	yi2
佔	1223	zhan4
茶	1224	cha2
賴	1225	lai4
階	1226	jie1
豐	1227	feng1
貝	1228	bei4
郵	1229	you2
暑	1230	shu3
危	1231	wei2
寒	1232	han2
械	1233	xie4
隱	1234	yin3
爸	1235	ba4
汽	1236	qi4
慘	1237	can3
旅	1238	lv3
村	1239	cun1
予	1240	yu2
振	1241	zhen4
亡	1242	wang2
瓶	1243	ping2
遭	1244	zao1
哲	1245	zhe2
零	1246	ling2
納	1247	na4
珍	1248	zhen1
乃	1249	nai3
席	1250	xi2
哩	1251	li1
鄭	1252	zheng4
吹	1253	chui1
骨	1254	gu3
煙	1255	yan1
胡	1256	hu2
倫	1257	lun2
洪	1258	hong2
搖	1259	yao2
娘	1260	niang2
芳	1261	fang1
索	1262	suo3
織	1263	zhi1
峰	1264	feng1
惠	1265	hui4
浮	1266	fu2
杯	1267	bei1
狼	1268	lang2
隔	1269	ge2
椰	1270	ye2
租	1271	zu1
尾	1272	wei3
忽	1273	hu1
複	1274	fu4
莊	1275	zhuang1
款	1276	kuan3
菜	1277	cai4
副	1278	fu4
企	1279	qi4
折	1280	zhe2
擾	1281	rao3
揚	1282	yang2
鼠	1283	shu3
冒	1284	mao4
癡	1285	chi1
鼓	1286	gu3
頻	1287	pin2
刺	1288	ci4
喵	1289	miao1
針	1290	zhen1
霸	1291	ba4
暫	1292	zhan4
伊	1293	yi1
沉	1294	chen2
嘴	1295	zui3
庫	1296	ku4
悔	1297	hui3
陰	1298	yin1
寂	1299	ji2
倚	1300	yi3
探	1301	tan4
祖	1302	zu3
摩	1303	mo2
距	1304	ju4
剩	1305	sheng4
遍	1306	bian4
蟲	1307	chong2
燒	1308	shao1
頁	1309	ye4
隆	1310	long2
弱	1311	ruo4
豆	1312	dou4
延	1313	yan2
蕭	1314	xiao1
握	1315	wo4
寧	1316	ning2
昭	1317	zhao1
盟	1318	meng2
覆	1319	fu4
憲	1320	xian4
秘	1321	mi4
耐	1322	nai4
愁	1323	chou2
丁	1324	ding1
撥	1325	bo1
沈	1326	chen2
昇	1327	sheng1
髮	1328	fa3
哀	1329	ai1
龜	1330	gui1
眉	1331	mei2
固	1332	gu4
卷	1333	juan3
顏	1334	yan2
閒	1335	xian2
稍	1336	shao1
殘	1337	can2
搭	1338	da1
